id,name,city,country,iata_code,icao_code,latitude,longitude,altitude,timezone_offset,dst,tz,type,source,language
1,Аэропорт Горока,Горока,Папуа-Новая Гвинея,GKA,AYGA,-6.081689834590001,145.391998291,5282,10,U,Pacific/Port_Moresby,airport,OurAirports,ru
2,Аэропорт Маданг,Маданг,Папуа-Новая Гвинея,MAG,AYMD,-5.20707988739,145.789001465,20,10,U,Pacific/Port_Moresby,airport,OurAirports,ru
3,Маунт-Хаген Кагамуга аэропорт,Маунт-Хаген,Папуа-Новая Гвинея,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,10,U,Pacific/Port_Moresby,airport,OurAirports,ru
4,Аэропорт Надзаб,Надзаб,Папуа-Новая Гвинея,LAE,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports,ru
5,Международный аэропорт Порт-Морсби Джексонс,Порт-Морсби,Папуа-Новая Гвинея,POM,AYPY,-9.443380355834961,147.22000122070312,146,10,U,Pacific/Port_Moresby,airport,OurAirports,ru
6,Международный аэропорт Вевак,Вевак,Папуа-Новая Гвинея,WWK,AYWK,-3.58383011818,143.669006348,19,10,U,Pacific/Port_Moresby,airport,OurAirports,ru
7,Аэропорт Нарсарсуак,Нарсарсуак,Гренландия,UAK,BGBW,61.1604995728,-45.4259986877,112,-3,E,America/Godthab,airport,OurAirports,ru
8,Годтааб / Аэропорт Нуук,Годтааб,Гренландия,GOH,BGGH,64.19090271,-51.6781005859,283,-3,E,America/Godthab,airport,OurAirports,ru
9,Кангерлуссуак: аэропорт,Сондстрем,Гренландия,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3,E,America/Godthab,airport,OurAirports,ru
10,Авиабаза Туле,Туле,Гренландия,THU,BGTL,76.5311965942,-68.7032012939,251,-4,E,America/Thule,airport,OurAirports,ru
11,Акюрейри аэропорт,Акюрейри,Исландия,AEY,BIAR,65.66000366210938,-18.07270050048828,6,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
12,Эйильсстадир аэропорт,Эйильсстадир,Исландия,EGS,BIEG,65.2833023071289,-14.401399612426758,76,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
13,Аэропорт Хорнафьордур,Хофн,Исландия,HFN,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
14,Хусавик аэропорт,Хусавик,Исландия,HZK,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
15,Аэропорт Исафьордур,Исафьордур,Исландия,IFJ,BIIS,66.05809783935547,-23.135299682617188,8,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
16,Международный аэропорт Кеблавик,Кефлавик,Исландия,KEF,BIKF,63.985000610352,-22.605600357056,171,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
17,Аэропорт Патрексфьордюр,Патрексфьордур,Исландия,PFJ,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
18,Рейкьявик аэропорт,Рейкьявик,Исландия,RKV,BIRK,64.1299972534,-21.9405994415,48,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
19,Сиглуфьордур аэропорт,Сиглуфьордур,Исландия,SIJ,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
20,Вестманнаэйяр аэропорт,Вестманнаэйяр,Исландия,VEY,BIVM,63.42430114746094,-20.278900146484375,326,0,N,Atlantic/Reykjavik,airport,OurAirports,ru
21,Аэропорт Су-Сент-Мари,Су-Сент-Мари,Канада,YAM,CYAM,46.48500061035156,-84.5093994140625,630,-5,A,America/Toronto,airport,OurAirports,ru
22,Виннипег / Аэропорт Сент-Эндрюс,Виннипег,Канада,\N,CYAV,50.0564002991,-97.03250122070001,760,-6,A,America/Winnipeg,airport,OurAirports,ru
23,Галифакс / Вертодром CFB Shearwater,Галифакс,Канада,\N,CYAW,44.639702,-63.499401,144,-4,A,America/Halifax,airport,OurAirports,ru
24,Аэропорт Сент-Энтони,Святой Антоний,Канада,YAY,CYAY,51.3918991089,-56.083099365200006,108,-3.5,A,America/St_Johns,airport,OurAirports,ru
25,Тофино / Аэропорт Лонг-Бич,Тофино,Канада,YAZ,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport,OurAirports,ru
26,Кугаарук аэропорт,Пелли Бэй,Канада,YBB,CYBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport,OurAirports,ru
27,Бэ Комо аэропорт,Бэ Комо,Канада,YBC,CYBC,49.13249969482422,-68.20439910888672,71,-5,A,America/Toronto,airport,OurAirports,ru
28,ЦФБ Баготвиль,Баготвиль,Канада,YBG,CYBG,48.33060073852539,-70.99639892578125,522,-5,A,America/Toronto,airport,OurAirports,ru
29,Бейкер Лейк аэропорт,Бейкер Лейк,Канада,YBK,CYBK,64.29889678960001,-96.077796936,59,-6,A,America/Winnipeg,airport,OurAirports,ru
30,Кэмпбелл Ривер аэропорт,Кэмпбелл Ривер,Канада,YBL,CYBL,49.950801849365234,-125.27100372314453,346,-8,A,America/Vancouver,airport,OurAirports,ru
31,Муниципальный аэропорт Брэндон,Брэндон,Канада,YBR,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports,ru
32,Аэропорт Кембридж Бэй,Кембридж Бэй,Канада,YCB,CYCB,69.1081008911,-105.138000488,90,-7,A,America/Edmonton,airport,OurAirports,ru
33,Нанаймо аэропорт,Нанаймо,Канада,YCD,CYCD,49.054970224899996,-123.869862556,92,-8,A,America/Vancouver,airport,OurAirports,ru
34,Каслгар/Региональный аэропорт Вест Кутеней,Каслгар,Канада,YCG,CYCG,49.2963981628,-117.632003784,1624,-8,A,America/Vancouver,airport,OurAirports,ru
35,Аэропорт Мирамичи,Чатем,Канада,YCH,CYCH,47.007801,-65.449203,108,-4,A,America/Halifax,airport,OurAirports,ru
36,Аэропорт Чарло,Чарло,Канада,YCL,CYCL,47.990799,-66.330299,132,-4,A,America/Halifax,airport,OurAirports,ru
37,Куглуктук аэропорт,Коппермайн,Канада,YCO,CYCO,67.816704,-115.143997,74,-7,A,America/Edmonton,airport,OurAirports,ru
38,Аэропорт Коронации,Коронация,Канада,YCT,CYCT,52.0750007629,-111.444999695,2595,-7,A,America/Edmonton,airport,OurAirports,ru
39,Чилливак аэропорт,Чилливак,Канада,YCW,CYCW,49.1528015137,-121.939002991,32,-8,A,America/Vancouver,airport,OurAirports,ru
40,Клайд Ривер аэропорт,Клайд Ривер,Канада,YCY,CYCY,70.4860992432,-68.5167007446,87,-5,A,America/Toronto,airport,OurAirports,ru
41,Аэропорт Корал Харбор,Корал Харбор,Канада,YZS,CYZS,64.1932983398,-83.3593978882,210,-5,A,America/Coral_Harbour,airport,OurAirports,ru
42,Аэропорт Доусон-Сити,Доусон,Канада,YDA,CYDA,64.04309844970703,-139.1280059814453,1215,-8,A,America/Vancouver,airport,OurAirports,ru
43,Берваш аэропорт,Бурваш,Канада,YDB,CYDB,61.37110137939453,-139.04100036621094,2647,-8,A,America/Vancouver,airport,OurAirports,ru
44,Принстон аэропорт,Принстон,Канада,\N,CYDC,49.4681015015,-120.511001587,2298,-8,A,America/Vancouver,airport,OurAirports,ru
45,Дир Лейк аэропорт,Оленье озеро,Канада,YDF,CYDF,49.21080017089844,-57.39139938354492,72,-3.5,A,America/St_Johns,airport,OurAirports,ru
46,Диз Лейк аэропорт,Озеро Диз,Канада,YDL,CYDL,58.4221992493,-130.031997681,2600,-8,A,America/Vancouver,airport,OurAirports,ru
47,Аэропорт Дофин Баркер,Дофин,Канада,YDN,CYDN,51.100799560546875,-100.052001953125,999,-6,A,America/Winnipeg,airport,OurAirports,ru
48,Аэропорт Доусон Крик,Доусон-Крик,Канада,YDQ,CYDQ,55.7422981262207,-120.18299865722656,2148,-7,A,America/Dawson_Creek,airport,OurAirports,ru
49,Международный аэропорт Эдмонтона,Эдмонтон,Канада,YEG,CYEG,53.309700012200004,-113.580001831,2373,-7,A,America/Edmonton,airport,OurAirports,ru
50,Аэропорт Арвиат,Эскимо-Пойнт,Канада,YEK,CYEK,61.0942001343,-94.07080078119999,32,-6,A,America/Winnipeg,airport,OurAirports,ru
51,Эстеван аэропорт,Эстеван,Канада,YEN,CYEN,49.2103004456,-102.966003418,1905,-6,N,America/Regina,airport,OurAirports,ru
52,Эдсон аэропорт,Эдсон,Канада,YET,CYET,53.578899383499994,-116.464996338,3043,-7,A,America/Edmonton,airport,OurAirports,ru
53,Юрика аэропорт,Эврика,Канада,YEU,CYEU,79.9946975708,-85.814201355,256,-6,A,America/Winnipeg,airport,OurAirports,ru
54,Инувик Майк Зубко аэропорт,Инувик,Канада,YEV,CYEV,68.30419921880001,-133.483001709,224,-7,A,America/Edmonton,airport,OurAirports,ru
55,Икалуит аэропорт,Икалуит,Канада,YFB,CYFB,63.756402,-68.555801,110,-5,A,America/Toronto,airport,OurAirports,ru
56,Аэропорт Фредериктон,Фредериктон,Канада,YFC,CYFC,45.868900299072266,-66.53720092773438,68,-4,A,America/Halifax,airport,OurAirports,ru
57,Аэропорт Форествилл,Форествилл,Канада,YFE,CYFE,48.74610137939453,-69.09719848632812,293,-5,A,America/Toronto,airport,OurAirports,ru
58,Аэропорт Флин Флон,Флин Флон,Канада,YFO,CYFO,54.6781005859375,-101.68199920654297,997,-6,A,America/Winnipeg,airport,OurAirports,ru
59,Аэропорт Форт Резолюшн,Форт Резолюция,Канада,YFR,CYFR,61.1808013916,-113.690002441,526,-7,A,America/Edmonton,airport,OurAirports,ru
60,Аэропорт Форт Симпсон,Форт Симпсон,Канада,YFS,CYFS,61.76020050048828,-121.23699951171875,555,-7,A,America/Edmonton,airport,OurAirports,ru
61,Аэропорт Кингстон Норман Роджерс,Кингстон,Канада,YGK,CYGK,44.22529983520508,-76.5969009399414,305,-5,A,America/Toronto,airport,OurAirports,ru
62,Аэропорт Ла Гранд Ривьер,Ла Гранд Ривьер,Канада,YGL,CYGL,53.625301361083984,-77.7042007446289,639,-5,A,America/Toronto,airport,OurAirports,ru
63,Аэропорт Гаспе (Мишель-Пулио),Гаспе,Канада,YGP,CYGP,48.7752990723,-64.4785995483,112,-5,A,America/Toronto,airport,OurAirports,ru
64,Региональный аэропорт Джералдтон Гринстоун,Джералдтон,Канада,YGQ,CYGQ,49.77830123901367,-86.93939971923828,1144,-5,A,America/Toronto,airport,OurAirports,ru
65,Аэропорт Иль-де-ла-Мадлен,Иль Де Ла Мадлен,Канада,YGR,CYGR,47.42470169067383,-61.778099060058594,35,-5,A,America/Toronto,airport,OurAirports,ru
66,Аэропорт Гудзон Бэй,Гудзонов залив,Канада,YHB,CYHB,52.8166999817,-102.310997009,1175,-6,N,America/Regina,airport,OurAirports,ru
67,Региональный аэропорт Драйден,Драйден,Канада,YHD,CYHD,49.831699,-92.744202,1354,-6,A,America/Winnipeg,airport,OurAirports,ru
68,Аэропорт Улухакток Холман,Остров Холман,Канада,YHI,CYHI,70.76280212402344,-117.80599975585938,117,-7,A,America/Edmonton,airport,OurAirports,ru
69,Аэропорт Йоа-Хейвен,Йоа-Хейвен,Канада,YHK,CYHK,68.635597229,-95.84970092770001,152,-7,A,America/Edmonton,airport,OurAirports,ru
70,Международный аэропорт имени Джона К. Манро Гамильтона,Гамильтон,Канада,YHM,CYHM,43.173599243199995,-79.93499755859999,780,-5,A,America/Toronto,airport,OurAirports,ru
71,Монреаль / Аэропорт Сен-Юбер,Монреаль,Канада,YHU,CYHU,45.5175018311,-73.4169006348,90,-5,A,America/Toronto,airport,OurAirports,ru
72,Хей-Ривер / Аэропорт Мерлин Картер,Хэй Ривер,Канада,YHY,CYHY,60.8396987915,-115.782997131,541,-7,A,America/Edmonton,airport,OurAirports,ru
73,Галифакс / Международный аэропорт Стэнфилд,Галифакс,Канада,YHZ,CYHZ,44.8807983398,-63.5085983276,477,-4,A,America/Halifax,airport,OurAirports,ru
74,Муниципальный аэропорт Атикокан,Атикокан,Канада,YIB,CYIB,48.7738990784,-91.6386032104,1408,-5,A,America/Coral_Harbour,airport,OurAirports,ru
75,Понд Инлет: аэропорт,Вход в пруд,Канада,YIO,CYIO,72.6832962036,-77.9666976929,181,-5,A,America/Toronto,airport,OurAirports,ru
76,Аэропорт Сен-Жан,Сен-Жан,Канада,YJN,CYJN,45.29439926147461,-73.28109741210938,136,-5,A,America/Toronto,airport,OurAirports,ru
77,Стивенвилл аэропорт,Стивенвилл,Канада,YJT,CYJT,48.5442008972168,-58.54999923706055,84,-3.5,A,America/St_Johns,airport,OurAirports,ru
78,Камлупс аэропорт,Камлупс,Канада,YKA,CYKA,50.7022018433,-120.444000244,1133,-8,A,America/Vancouver,airport,OurAirports,ru
79,Аэропорт Ватерлоо,Ватерлоо,Канада,YKF,CYKF,43.460800170899994,-80.3786010742,1055,-5,A,America/Toronto,airport,OurAirports,ru
80,Шеффервилл аэропорт,Шеффервилль,Канада,YKL,CYKL,54.805301666259766,-66.8052978515625,1709,-5,A,America/Toronto,airport,OurAirports,ru
81,Киндерсли аэропорт,Киндерсли,Канада,YKY,CYKY,51.5175018311,-109.180999756,2277,-6,N,America/Regina,airport,OurAirports,ru
82,Муниципальный аэропорт Баттонвилля,Торонто,Канада,YKZ,CYKZ,43.86220169067383,-79.37000274658203,650,-5,A,America/Toronto,airport,OurAirports,ru
83,Аэропорт Шапло,Шапло,Канада,YLD,CYLD,47.81999969482422,-83.3467025756836,1470,-5,A,America/Toronto,airport,OurAirports,ru
84,Аэропорт Медоу Лейк,Луговое озеро,Канада,YLJ,CYLJ,54.125301361083984,-108.52300262451172,1576,-6,N,America/Regina,airport,OurAirports,ru
